PARTNER_CODE,UDF1,UDF2,UDF3,UDF4,UDF5,UDF6,UDF7,UDF8,UDF9,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20,UDF21,UDF22,UDF23,UDF24,UDF25,UDF26,UDF27,UDF28,UDF29,UDF30,UDF31,UDF32,UDF_DATE1,UDF_DATE2,UDF_DATE3,UDF_DATE4,UDF_DATE5,UDF_DATE6,UDF_DATE7,UDF_DATE8,UDF_DATE9,UDF_DATE10,UDF_DATE11,UDF_DATE12
2-SIWB-20652,Y,Y,,,,Reseller,,,,,,T2,,CALENDAR_PERIOD,No,N,Y,Y,Y,,,,N,,Reseller,N,API/Partner Portal,Email,hpiapj.ftp:oem.co.nz:2-siwb-20652.ftp;AddTransactions.ftp,,,,4/29/2019,12/31/2099,4/29/2019,12/31/2099,,,,1/10/2020,,,,
2-SIWB-20672,Y,Y,,,,Retailer,,,,,,T2,,CALENDAR_PERIOD,No,N,Y,,,Y,,,N,,Retailer,N,Email,Partner Portal,powerbuy.co.th;hp.com;2-SISC-13664.ftp,,,,4/18/2022,12/31/2099,4/18/2022,12/31/2099,,4/11/2022,,,,,,
